1980,0.27
1981,0.33
1982,0.13
1983,0.3
1984,0.15
1985,0.12
1986,0.19
1987,0.33
1988,0.4
1989,0.28
1990,0.44
1991,0.42
1992,0.23
1993,0.24
1994,0.31
1995,0.45
1996,0.34
1997,0.47
1998,0.63
1999,0.41
2000,0.42
2001,0.54
2002,0.63
2003,0.62
2004,0.54
2005,0.69
2006,0.63
2007,0.66
2008,0.53
2009,0.64
