Date,market_sam,closing_sam,yesterday_sam,high_sam,low_sam,volume_sam,price_du,closing_sp,open_sp,high_sp,low_sp,closing_dji,open_dji,high_dji,low_dji,volume_dji,closing_cny,open_cny,high_cny,low_cny,change_cny,closing_jpy,open_jpy,high_jpy,low_jpy,change_jpy,closing_usd,open_usd,high_usd,low_usd,closing_sh,open_sh,high_sh,low_sh,volume_sh,price_kospi,yesterday_kospi,change_kospi,volume_kospi,money_kospi
2019-12-30,56200.0,55800.0,-700.0,56600.0,55700.0,8356767.0,64.85,3221.29,3240.09,3240.92,3216.57,28462.14,28654.76,28664.69,28428.98,185070000.0,165.74,165.95,166.0,165.18,-0.02,10.6357,10.6031,10.6473,10.5777,0.36,1157.97,1160.97,1161.3,1154.89,3040.02,2998.17,3041.4,2983.34,24810000000,293.77,-1.43,-0.48,54972000,2540000000000.0
2019-12-27,55700.0,56500.0,1100.0,56900.0,55500.0,12313056.0,64.82,3240.02,3247.23,3247.93,3234.37,28645.26,28675.34,28701.66,28608.98,184930000.0,165.77,166.02,166.13,165.45,-0.21,10.597999999999999,10.6003,10.6222,10.5786,-0.03,1159.68,1162.15,1162.83,1158.12,3005.04,3006.85,3036.11,3003.63,24710000000,295.2,1.14,0.39,77505000,3600000000000.0
2019-12-26,54700.0,55400.0,400.0,55400.0,54400.0,9645034.0,64.83,3239.91,3227.2,3240.08,3227.2,28621.39,28539.46,28624.1,28535.15,155970000.0,166.12,166.19,166.44,165.87,0.03,10.6011,10.6175,10.6327,10.5917,-0.13,1162.3,1161.04,1163.42,1160.34,3007.35,2981.25,3007.35,2980.4,18240000000,294.06,1.16,0.4,68476000,3210000000000.0
2019-12-24,55600.0,55000.0,-500.0,55700.0,54800.0,11868463.0,64.79,3223.38,3225.45,3226.43,3220.51,28515.45,28572.57,28576.8,28503.21,95290000.0,166.04,166.01,166.37,165.6,0.03,10.6359,10.6397,10.6626,10.6093,-0.05,1163.52,1164.04,1166.61,1160.71,2982.68,2965.83,2983.82,2960.68,16300000000,292.9,-1.97,-0.67,60605000,2710000000000.0
2019-12-23,56100.0,55500.0,-500.0,56400.0,55100.0,9839252.0,64.65,3224.01,3226.05,3227.78,3222.3,28551.53,28491.78,28582.49,28491.78,233470000.0,165.99,165.46,166.21,165.37,0.31,10.6407,10.6037,10.6539,10.5854,0.45,1164.04,1159.39,1165.2,1159.38,2962.75,2999.04,3009.34,2960.43,20570000000,294.87,-0.44,-0.15,62094000,2900000000000.0
2019-12-19,57000.0,56000.0,-300.0,57300.0,55500.0,14180520.0,64.7,3205.37,3192.32,3205.48,3192.32,28376.96,28278.31,28381.48,28278.24,262570000.0,165.94,166.57,166.66,165.9,-0.37,10.6356,10.6574,10.6783,10.6152,-0.14,1163.27,1167.62,1168.24,1163.03,3017.07,3017.15,3021.42,3007.99,20860000000,294.31,0.09,0.03,70191000,3320000000000.0
2019-12-18,56700.0,56300.0,-400.0,57200.0,56000.0,15558208.0,64.54,3191.14,3195.21,3198.48,3191.14,28239.28,28291.44,28323.25,28239.28,289890000.0,166.55,166.35,167.13,166.17,0.1,10.651,10.6246,10.6797,10.6084,0.17,1166.66,1163.24,1168.89,1161.99,3017.04,3021.47,3033.23,3011.72,24410000000,294.22,-0.18,-0.06,76912000,3580000000000.0
2019-12-17,55800.0,56700.0,2000.0,56700.0,55400.0,19358433.0,64.53,3192.52,3195.4,3198.22,3191.03,28267.16,28221.75,28328.63,28220.56,286770000.0,166.38,167.06,167.38,166.16,-0.42,10.6334,10.6701,10.6868,10.6136,-0.35,1164.15,1168.48,1170.8,1162.6,3022.42,2985.26,3039.38,2982.5,29300000000,294.4,4.64,1.6,94368000,4580000000000.0
2019-12-13,54500.0,54700.0,1400.0,54800.0,53900.0,18120261.0,64.12,3168.8,3166.65,3182.68,3156.51,28135.38,28123.64,28290.73,28028.32,254810000.0,168.28,167.93,168.65,167.32,0.21,10.7539,10.7261,10.7922,10.6604,0.22,1176.21,1172.81,1178.74,1168.44,2967.68,2937.78,2969.98,2935.85,21200000000,290.11,5.0,1.75,99615000,4410000000000.0
2019-12-12,53000.0,53300.0,1400.0,53300.0,52700.0,29178697.0,63.46,3168.57,3141.23,3176.28,3138.47,28132.05,27898.34,28224.95,27859.87,277740000.0,167.92,169.1,169.61,167.61,-0.64,10.73,10.959000000000001,10.9929,10.7066,-2.09,1172.89,1189.61,1192.7,1170.73,2915.7,2926.34,2926.34,2913.48,15180000000,285.11,4.83,1.72,133649000,6550000000000.0
2019-12-11,51500.0,51900.0,400.0,52200.0,51400.0,11379521.0,62.98,3141.63,3135.75,3143.98,3133.21,27911.3,27867.31,27925.5,27801.8,221700000.0,169.01,169.22,169.92,169.01,-0.14,10.9586,10.9516,11.0048,10.9374,0.07,1189.61,1190.49,1196.14,1189.61,2924.42,2922.6,2928.26,2915.0,16550000000,280.28,0.97,0.35,66847000,2900000000000.0
2019-12-10,51000.0,51500.0,300.0,51600.0,50700.0,6882771.0,63.5,3132.52,3135.36,3142.12,3126.09,27881.72,27900.65,27949.02,27804.0,215810000.0,169.25,169.28,169.79,169.01,0.07,10.9511,10.9748,11.0014,10.9451,-0.14,1190.49,1191.43,1194.86,1189.6,2917.32,2908.94,2919.2,2902.79,17010000000,279.31,1.28,0.46,56665000,2420000000000.0
2019-12-09,50900.0,51200.0,800.0,51400.0,50700.0,8470627.0,63.34,3135.96,3141.86,3148.87,3135.46,27909.6,27987.05,28010.42,27906.14,219070000.0,169.13,168.64,169.43,168.59,0.3,10.9667,10.9138,11.0015,10.9138,0.41,1190.55,1186.31,1193.21,1186.01,2914.48,2914.46,2919.59,2905.25,16080000000,278.03,1.47,0.53,70519000,2660000000000.0
