Country,year,GDP_pc,product_hr,product_emp,work_hour,work_hour_sq,elderly,unemp,gap,RnD,min_wage,min_wage_sq,edu_tertiary
Belgium,2013,10.68444291,4.232612723,11.57959986,1558,2427364,17.766,8.433350318,6.4,2.33393,10.7,114.49,35.535332
Belgium,2014,10.7128506,4.262913948,11.60848909,1545,2387025,17.999,8.541620694,3.3,2.38746,10.66,113.6356,36.855022
Belgium,2015,10.7410221,4.29324098,11.63370725,1545,2387025,18.21,8.483940109,4.7,2.46611,10.6,112.36,36.857422
Belgium,2016,10.79189271,4.336638424,11.67715562,1545,2387025,18.405,7.858577542,3.7,2.5573,10.5,110.25,37.503956
Belgium,2017,10.83508924,4.368555429,11.70806443,1545,2387025,18.617,7.108654219,,2.60617,10.49,110.0401,40.257053
Belgium,2018,10.86440932,4.360981123,11.72822496,1545,2387025,18.835,5.974765485,,,10.38,107.7444,40.638546
Canada,2000,10.28751254,3.510423526,10.99873166,1787,3193369,12.551,6.837353832,23.9,1.86469,6.91,47.7481,40.105782
Canada,2001,10.31608644,3.548003787,11.02893955,1774,3147076,12.643,7.227865632,24.3,2.02831,6.83,46.6489,41.881519
Canada,2002,10.34060836,3.569706653,11.04003311,1755,3080025,12.22,7.670516606,24,1.97873,6.76,45.6976,42.873188
Canada,2003,10.38393724,3.606656006,11.07096915,1745,3045025,12.317,7.580138352,22.5,1.97478,6.66,44.3556,44.123833
Canada,2004,10.43158543,3.641652539,11.11166736,1755,3080025,12.417,7.156303727,22.7,2.00416,6.67,44.4889,44.548969
Canada,2005,10.50037785,3.710303413,11.17474007,1745,3045025,12.514,6.751684922,21.3,1.97759,6.73,45.2929,45.976749
Canada,2006,10.54817275,3.752815434,11.21696009,1744,3041536,13.26,6.308239599,21.1,1.94872,6.88,47.3344,46.881516
Canada,2007,10.585477,3.779207379,11.24309456,1744,3041536,13.443,6.032551157,20.8,1.90857,6.95,48.3025,48.181564
Canada,2008,10.60603946,3.797785494,11.26013901,1741,3031081,13.659,6.147274435,20.5,1.8604,7.23,52.2729,48.706802
Canada,2009,10.56858381,3.806261143,11.25151238,1712,2930944,13.885,8.346803257,20.1,1.92227,7.66,58.6756,49.290722
Canada,2010,10.59945757,3.828034712,11.27528317,1715,2941225,14.127,8.022415953,19,1.82958,7.93,62.8849,50.311695
Canada,2011,10.63735746,3.861067296,11.30733157,1713,2934369,14.43,7.507091851,19.2,1.79132,7.95,63.2025,51.033012
Canada,2012,10.65128092,3.871580668,11.3225494,1722,2965284,14.85,7.312040587,19.5,1.7766,8.1,65.61,52.305416
Canada,2013,10.69672975,3.918694203,11.36639732,1716,2944656,15.258,7.092005472,19.3,1.70964,8.16,66.5856,52.971439
Canada,2014,10.72827058,3.958810881,11.40332506,1710,2924100,15.64,6.916547602,19.2,1.71824,8.21,67.4041,53.61496
Canada,2015,10.70708897,3.932956464,11.37820178,1712,2930944,16.027,6.904228353,18.6,1.68945,8.34,69.5556,55.17366
Canada,2016,10.74678818,3.977155906,11.41907081,1706,2910436,16.397,6.995851615,18.2,1.68754,8.46,71.5716,56.265068
Canada,2017,10.79215833,4.022064866,11.45740621,1695,2873025,16.792,6.322700846,18.2,1.5853,8.61,74.1321,56.71452
Canada,2018,10.82130337,4.044585932,11.48760278,1708,2917264,17.157,5.832879095,,,9.52,90.6304,57.888363
Czech Republic,2000,9.690735714,2.892033099,10.4393036,1896,3594816,13.841,8.813724516,19.1,1.11319,2.44,5.9536,10.963162
Czech Republic,2001,9.772332316,3.013188965,10.51885489,1818,3305124,13.822,8.156749613,16.9,1.10333,2.95,8.7025,11.131626
Czech Republic,2002,9.808206873,3.041481867,10.54618654,1817,3301489,13.878,7.304163371,16,1.10202,3.27,10.6929,11.94141
Czech Republic,2003,9.873637115,3.120679143,10.61967328,1806,3261636,13.917,7.803381951,15.6,1.14741,3.55,12.6025,12.005664
Czech Republic,2004,9.94170952,3.185183438,10.69015994,1817,3301489,13.989,8.312280877,16.1,1.14559,3.71,13.7641,12.345678
Czech Republic,2005,9.994575449,3.221519368,10.72645498,1817,3301489,14.122,7.917267888,15.9,1.16835,3.91,15.2881,13.058269
Czech Republic,2006,10.07357788,3.300167881,10.79524739,1799,3236401,14.307,7.131635074,15.4,1.23173,4.16,17.3056,13.522043
Czech Republic,2007,10.1682568,3.387888949,10.87470596,1784,3182656,14.489,5.306279977,16.9,1.30228,4.2,17.64,13.732669
Czech Republic,2008,10.23006885,3.43556847,10.92528284,1790,3204100,14.723,4.376702746,17.9,1.23933,3.94,15.5236,14.498895
Czech Republic,2009,10.22175947,3.457429468,10.94110514,1779,3164841,15.044,6.702816207,15.1,1.29438,3.9,15.21,15.544437
Czech Republic,2010,10.22467822,3.4616094,10.95687362,1800,3240000,15.373,7.283982043,16.3,1.33688,3.85,14.8225,16.764982
Czech Republic,2011,10.26798538,3.50229409,11.00095564,1806,3261636,15.902,6.707012304,15.3,1.55571,3.78,14.2884,18.243177
Czech Republic,2012,10.27682162,3.524612822,11.00680117,1776,3154176,16.503,6.975173843,15.8,1.78231,3.66,13.3956,19.277992
Czech Republic,2013,10.32535146,3.577477839,11.05225274,1763,3108169,17.09,6.949256342,15.4,1.89973,3.68,13.5424,20.45986
Czech Republic,2014,10.38173973,3.621940534,11.10447526,1777,3157729,17.605,6.110432705,16.3,1.97285,3.78,14.2884,21.51013
Czech Republic,2015,10.42529418,3.664691674,11.13557652,1756,3083536,18.076,5.021589593,16.5,1.92923,4.09,16.7281,22.186741
Czech Republic,2016,10.48794333,3.701028727,11.18456849,1779,3164841,18.555,3.947150498,16,1.6783,4.34,18.8356,22.971544
Czech Republic,2017,10.5586044,3.755282993,11.24210397,1784,3182656,19.019,2.890311136,15.6,1.79235,4.76,22.6576,23.927534
Czech Republic,2018,10.60762364,3.793096734,11.2812196,1792,3211264,19.414,2.242408677,15.1,,5.17,26.7289,24.262077
Denmark,2000,10.26386959,3.634998736,10.92524912,1466,2149156,14.83,4.633905262,,0,,0,25.777601
Denmark,2001,10.29077878,3.653726516,10.94584279,1469,2157961,14.823,4.908093263,,2.32466,,0,28.41186
Denmark,2002,10.33006011,3.70008385,10.98804414,1463,2140369,14.83,4.973283987,10.8,2.44145,,0,29.61084
Denmark,2003,10.33494537,3.720045799,11.00474824,1458,2125764,14.887,5.881941525,9.9,2.51085,,0,31.847263
Denmark,2004,10.40177817,3.794388381,11.07926006,1458,2125764,14.979,5.974609353,10.2,2.41916,,0,32.848095
Denmark,2005,10.43860224,3.824667598,11.10492549,1451,2105401,15.108,5.226304727,10.2,2.39337,,0,33.544121
Denmark,2006,10.52651335,3.890604008,11.17384842,1456,2119936,15.256,4.226062386,10.2,2.403,,0,34.719662
Denmark,2007,10.57069972,3.931802907,11.1991676,1433,2053489,15.458,4.089672358,9.9,2.51541,,0,30.903458
Denmark,2008,10.62820596,3.985469099,11.25093727,1430,2044900,15.743,3.709626753,10.2,2.77346,,0,31.414381
Denmark,2009,10.60586494,4.009624685,11.26594304,1417,2007889,16.106,6.39493221,10.2,3.05514,,0,32.449905
Denmark,2010,10.6698179,4.097765836,11.3578023,1422,2022084,16.58,7.75404157,8.9,2.91707,,0,33.262753
Denmark,2011,10.70117361,4.123436735,11.3937364,1437,2064969,17.119,7.754064747,7.9,2.94465,,0,33.702026
Denmark,2012,10.71015423,4.152850439,11.41361628,1423,2024929,17.653,7.796206466,7,2.98125,,0,34.782349
Denmark,2013,10.7524185,4.197584356,11.45995592,1426,2033476,18.071,7.380311366,6.8,2.97048,,0,35.42934
Denmark,2014,10.77698512,4.227134299,11.48117587,1414,1999396,18.453,6.860718964,6.3,2.91404,,0,35.800922
Denmark,2015,10.80102972,4.249089266,11.49841042,1407,1979649,18.736,6.28671812,5.8,3.0689,,0,37.095581
Denmark,2016,10.85826356,4.294452786,11.54724696,1412,1993744,18.972,6.011239144,5.7,3.17039,,0,38.169136
Denmark,2017,10.9159176,4.347755338,11.59583655,1405,1974025,19.197,5.812023518,5.3,3.1028,,0,39.232346
Denmark,2018,10.95456802,4.393841353,11.62507695,1392,1937664,19.461,5.103521402,,,,0,38.055264
Estonia,2000,9.149334762,2.468031055,10.02236588,1909,3644281,14.993,14.62382845,,0.60009,1.48,2.1904,28.669167
Estonia,2001,9.239149807,2.549741299,10.10040256,1902,3617604,15.285,13.0089997,,0.69946,1.6,2.56,29.479181
Estonia,2002,9.361804739,2.664887414,10.21659961,1904,3625216,15.643,11.22690846,25,0.71649,1.79,3.2041,29.358723
Estonia,2003,9.478861545,2.751596162,10.30645469,1910,3648100,16.018,10.34200743,,0.76777,2.06,4.2436,29.649635
Estonia,2004,9.580627128,2.846689891,10.40572813,1918,3678724,16.381,10.14070839,,0.85193,2.29,5.2441,30.712088
Estonia,2005,9.715618284,2.94289911,10.51282675,1939,3759721,16.719,8.030778425,,0.92364,2.39,5.7121,33.025089
Estonia,2006,9.865494605,3.042662042,10.60897308,1932,3732624,17.077,5.912076807,29.7,1.11666,2.55,6.5025,33.118874
Estonia,2007,10.00477963,3.175842721,10.74059975,1929,3721041,17.371,4.591947769,,1.06884,2.87,8.2369,33.146008
Estonia,2008,10.03485473,3.219731659,10.76934082,1900,3610000,17.443,5.45506954,,1.25952,3.15,9.9225,34.176804
Estonia,2009,9.932816279,3.294708563,10.77287827,1769,3129361,17.432,13.54902104,,1.39541,3.15,9.9225,36.065544
Estonia,2010,9.988889098,3.376761578,10.8778437,1810,3276100,17.442,16.70699516,27.8,1.58162,3.06,9.3636,35.423084
Estonia,2011,10.11613021,3.414916444,10.93893786,1852,3429904,17.577,12.32513353,,2.30655,2.91,8.4681,36.889767
Estonia,2012,10.17126344,3.467953099,10.97454489,1820,3312400,17.868,10.02304569,,2.12265,2.92,8.5264,37.605877
Estonia,2013,10.22544273,3.516455365,11.01255272,1801,3243601,18.203,8.628359252,,1.72216,3.14,9.8596,37.345535
Estonia,2014,10.27876459,3.562149848,11.05491015,1795,3222025,18.567,7.350978648,28.3,1.45063,3.49,12.1801,37.499954
Estonia,2015,10.29025625,3.547315631,11.03616859,1788,3196944,18.891,6.184586109,,1.48796,3.85,14.8225,38.030697
Estonia,2016,10.34909791,3.603573086,11.0941025,1791,3207681,19.182,6.758515947,,1.28134,4.24,17.9776,38.756851
Estonia,2017,10.43018927,3.657340618,11.1484282,1792,3211264,19.465,5.763039279,,1.323,4.48,20.0704,39.663879
Estonia,2018,10.50334968,3.745624253,11.21185181,1748,3055504,19.676,5.370297873,,,4.61,21.2521,41.130722
Finland,2000,10.19596294,3.590833483,11.00721198,1663,2765569,14.918,9.78365849,20.4,3.24569,,0,32.614372
Finland,2001,10.23306547,3.626300159,11.03118774,1644,2702736,15.079,9.126679463,21.2,3.19795,,0,
Finland,2002,10.2613411,3.649581298,11.04959082,1636,2676496,15.248,9.091780035,20.4,3.2574,,0,
Finland,2003,10.2757352,3.668893203,11.06400075,1628,2650384,15.459,9.029714396,20.1,3.30214,,0,33.177582
Finland,2004,10.34731707,3.737512154,11.13323376,1629,2653641,15.724,8.820127241,20,3.31494,,0,34.184566
Finland,2005,10.37510747,3.759098094,11.14927952,1620,2624400,15.937,8.394543547,18.9,3.32976,,0,34.629433
Finland,2006,10.44619971,3.817870116,11.20557936,1616,2611456,16.234,7.722809668,19.4,3.33762,,0,35.141739
Finland,2007,10.54004236,3.895321692,11.28179253,1614,2604996,16.487,6.85110758,21.4,3.34577,,0,36.357056
Finland,2008,10.5987251,3.940322219,11.32306866,1608,2585664,16.631,6.363888632,21.2,3.54708,,0,36.583557
Finland,2009,10.54556803,3.932044922,11.30038461,1585,2512225,16.881,8.24309186,19.7,3.74883,,0,37.268574
Finland,2010,10.57085961,3.963542869,11.33628923,1592,2534464,17.26,8.394160584,18.9,3.72598,,0,38.146343
Finland,2011,10.61929228,4.00392513,11.37352584,1587,2518569,17.823,7.781919851,18.6,3.63881,,0,39.318207
Finland,2012,10.61822142,4.006716413,11.36872696,1575,2480625,18.451,7.685873606,20.2,3.41948,,0,39.661289
Finland,2013,10.63327805,4.040368145,11.39600925,1565,2449225,19.073,8.202541106,18.7,3.28719,,0,40.545231
Finland,2014,10.63945149,4.05711747,11.4108398,1562,2439844,19.664,8.667661877,19.6,3.16931,,0,41.776676
Finland,2015,10.6579168,4.078985107,11.43334744,1563,2442969,20.207,9.372384937,18.1,2.89637,,0,42.742619
Finland,2016,10.71270355,4.133883109,11.48632421,1560,2433600,20.682,8.809013875,16.5,2.74645,,0,43.595264
Finland,2017,10.76786661,4.183520664,11.53339436,1556,2421136,21.144,8.643457383,17.7,2.76179,,0,44.304253
Finland,2018,10.81060288,4.202305594,11.55153641,1555,2418025,21.613,7.366885486,,,,0,45.188133
France,2000,10.1698622,3.68509849,11.03647416,1558,2427364,15.874,8.469729802,,2.09346,9.46,89.4916,21.58481
France,2001,10.22216046,3.743571075,11.08178101,1538,2365444,15.986,7.691959796,,2.13804,9.65,93.1225,23.020861
France,2002,10.25864681,3.804818569,11.12062677,1504,2262016,16.088,7.831833639,13.3,2.17449,9.77,95.4529,23.98011
France,2003,10.245174,3.795918108,11.11396468,1507,2271049,16.165,8.45159115,,2.11994,9.94,98.8036,23.917387
France,2004,10.27638466,3.817579064,11.1511614,1531,2343961,16.256,8.81068999,,2.09461,10.27,105.4729,24.383652
France,2005,10.32561503,3.866666872,11.20104577,1532,2347024,16.335,8.830509922,,2.05151,10.67,113.8489,25.425774
France,2006,10.38701504,3.935417566,11.25859567,1515,2295225,16.34,8.780869115,9.4,2.05094,10.93,119.4649,26.183411
France,2007,10.436845,3.962766746,11.30023444,1537,2362369,16.356,7.962547666,,2.02451,11.05,122.1025,26.646099
France,2008,10.46603818,3.98859108,11.32994278,1543,2380849,16.441,7.337194639,,2.06117,11.07,122.5449,27.233906
France,2009,10.45505691,4.001612819,11.33558387,1531,2343961,16.553,9.080302098,,2.21207,11.27,127.0129,28.588057
France,2010,10.48949602,4.034525872,11.37393567,1540,2371600,16.674,9.211866273,9.1,2.17857,11.19,125.2161,29.006897
France,2011,10.53070724,4.068905089,11.41254552,1546,2390116,16.939,9.155686656,,2.19161,11.18,124.9924,29.767
France,2012,10.53699614,4.080230949,11.42034031,1541,2374681,17.354,9.758063566,,2.22707,11.31,127.9161,30.856123
France,2013,10.58477654,4.140881873,11.47144565,1526,2328676,17.792,10.30308985,,2.23703,11.36,129.0496,32.105263
France,2014,10.60022975,4.161247177,11.48646928,1518,2304324,18.186,10.29218455,9.9,2.27592,11.43,130.6449,33.539047
France,2015,10.61743804,4.179516493,11.5056428,1519,2307361,18.634,10.3592922,,2.26703,11.52,132.7104,34.085361
France,2016,10.66554352,4.223220158,11.55104627,1526,2328676,19.054,10.05676469,,2.24805,11.57,133.8649,34.582485
France,2017,10.70664014,4.268934375,11.58572695,1522,2316484,19.451,9.397228114,,2.18868,11.56,133.6336,35.213791
France,2018,10.74165376,4.30397217,11.61415992,1520,2310400,19.837,9.058941082,,,11.49,132.0201,36.897491
Germany,2000,10.22053133,3.642201964,10.93245241,1452,2108304,16.449,7.946569107,19.6,2.39166,,0,23.498837
Germany,2001,10.26362946,3.694158719,10.97909282,1441.9,2079075.61,16.855,7.798963819,19.1,2.38558,,0,23.222008
Germany,2002,10.29229093,3.734779995,11.01335615,1430.9,2047474.81,17.278,8.608976264,19.1,2.41543,,0,23.427382
Germany,2003,10.3168019,3.773623531,11.04838579,1424.8,2030055.04,17.75,9.694580446,19.6,2.4566,,0,23.982014
Germany,2004,10.36447937,3.817550093,11.09174148,1422.2,2022652.84,18.316,10.33071796,21.9,2.42079,,0,24.931704
Germany,2005,10.38086211,3.840835699,11.10795875,1411.3,1991767.69,18.939,11.02057784,16.3,2.42253,,0,24.552816
Germany,2006,10.45233034,3.888694766,11.17021018,1424.7,2029770.09,19.526,10.04203932,18.1,2.45604,,0,23.947578
Germany,2007,10.51380062,3.930360933,11.21249456,1424.4,2028915.36,19.946,8.57740157,16.7,2.44633,,0,24.299988
Germany,2008,10.55665739,3.961100995,11.23857569,1418.4,2011858.56,20.246,7.407711071,16.7,2.59712,,0,25.400061
Germany,2009,10.53212628,3.961136508,11.20896885,1372.7,1884305.29,20.531,7.647457349,16.5,2.72644,,0,26.385326
Germany,2010,10.58919609,3.99757423,11.26002432,1389.9,1931822.01,20.633,6.95200345,16.7,2.71367,,0,26.609148
Germany,2011,10.65823566,4.05368351,11.31694079,1392.8,1939891.84,20.666,5.857519789,16.9,2.79562,,0,27.562323
Germany,2012,10.67728205,4.076584838,11.32649766,1375,1890625,20.714,5.380731165,15.6,2.86813,,0,28.121572
Germany,2013,10.71427704,4.116683464,11.35837783,1362.7,1856951.29,20.812,5.238476954,14.1,2.82105,,0,28.47327
Germany,2014,10.75814286,4.153169778,11.39769151,1366.9,1868415.61,20.956,5.004977105,17.2,2.87289,,0,27.057884
Germany,2015,10.7723417,4.166409408,11.41120326,1369.8,1876352.04,21.049,4.631796011,15.8,2.91695,10.84,117.5056,27.638235
Germany,2016,10.83099611,4.225171035,11.4656446,1362.8,1857223.84,21.136,4.161804745,15.5,2.93168,10.79,116.4241,28.291723
Germany,2017,10.87826872,4.265135676,11.50315807,1360.4,1850688.16,21.305,3.754688527,16.2,3.03529,11.06,122.3236,28.58337
Germany,2018,10.90516271,4.282447431,11.51945738,1362.6,1856678.76,21.466,3.396270082,,,10.87,118.1569,29.065134
Greece,2000,9.879375489,3.189003662,10.79787428,2016,4064256,17.538,11.58107926,,0,5.46,29.8116,17.672335
Greece,2001,9.950548795,3.264749359,10.87063936,2010,4040100,17.604,10.79237873,,0.55948,5.46,29.8116,18.067701
Greece,2002,10.02641102,3.324088702,10.92599067,2002,4008004,17.623,10.35501093,,0,5.55,30.8025,18.793383
Greece,2003,10.08039654,3.367213689,10.96861601,2001,4004001,17.905,9.79418027,,0.54654,5.63,31.6969,19.299871
Greece,2004,10.1439732,3.413944129,11.01083858,1992,3968064,18.161,10.59120073,13.9,0.5273,5.75,33.0625,21.286716
Greece,2005,10.1494662,3.387352955,11.01001691,2044,4177936,18.369,9.996759231,16.7,0.57896,5.86,34.3396,21.472097
Greece,2006,10.25817255,3.486444798,11.10371261,2033,4133089,18.521,9.008234981,11.9,0.56118,6.03,36.3609,22.428827
Greece,2007,10.28499241,3.50934128,11.11969889,2019,4076361,18.625,8.396555877,11.6,0.57655,6.18,38.1924,22.893152
Greece,2008,10.33708442,3.553368933,11.16174341,2015,4060225,18.718,7.760022007,9.5,0.66183,6.3,39.69,23.535585
Greece,2009,10.32181466,3.558360035,11.15475233,1991,3964081,18.875,9.615727974,12.2,0.62557,6.58,43.2964,23.656685
Greece,2010,10.24599075,3.539820966,11.10613197,1932,3732624,19.134,12.71344419,10.7,0.59838,6.4,40.96,24.744848
Greece,2011,10.17126372,3.526123085,11.1011948,1949,3798601,19.479,17.86454086,9.6,0.67196,6.24,38.9376,26.112072
Greece,2012,10.13794311,3.543908218,11.12766451,1966,3865156,19.865,24.43929797,6.9,0.69957,5,25,26.719267
Greece,2013,10.1696062,3.592826544,11.17861537,1970,3880900,20.274,27.46642442,11.3,0.81131,4.88,23.8144,27.423178
Greece,2014,10.19759577,3.623862605,11.19069108,1933,3736489,20.691,26.49160461,9.1,0.8333,4.94,24.4036,28.105659
Greece,2015,10.19996809,3.607287954,11.17927639,1943,3775249,21.079,24.89690856,6.3,0.96637,5.03,25.3009,29.057495
Greece,2016,10.23362961,3.63263799,11.20411165,1942,3771364,21.402,23.53927201,4.5,1.007,5.07,25.7049,30.231607
Greece,2017,10.27811358,3.65264362,11.23130047,1956,3825936,21.665,21.48763789,4.5,1.14384,5.02,25.2004,31.027514
Greece,2018,10.32119105,3.676287786,11.25494463,1956,3825936,21.894,19.29191132,,,4.98,24.8004,31.739904
Hungary,2000,9.380725948,2.643143185,10.28935181,1845,3404025,15.062,6.392969096,14.1,0.78942,1.93,3.7249,14.041859
Hungary,2001,9.488999899,2.77034076,10.39337655,1809,3272481,15.199,5.708430114,13.7,0.91189,2.78,7.7284,13.984717
Hungary,2002,9.583722154,2.857042571,10.48678185,1820,3312400,15.313,5.81864905,9.1,0.98198,3.3,10.89,14.211662
Hungary,2003,9.646296619,2.930361406,10.5273985,1795,3222025,15.432,5.86985493,1.5,0.91841,3.15,9.9225,15.416001
Hungary,2004,9.694554673,2.982006454,10.58417543,1802,3247204,15.557,6.093346084,3,0.86035,3.13,9.7969,16.748745
Hungary,2005,9.745285845,3.033286599,10.64016124,1803,3250809,15.705,7.225406328,4,0.92094,3.25,10.5625,17.083904
Hungary,2006,9.816818917,3.100678693,10.70209903,1800,3240000,15.866,7.494363363,0.4,0.98097,3.43,11.7649,17.699047
Hungary,2007,9.854529358,3.137913201,10.74559736,1795,3222025,16.056,7.418437459,3.6,0.95674,3.33,11.0889,18.048761
Hungary,2008,9.937730926,3.237637047,10.84465268,1798,3232804,16.259,7.838759134,2.2,0.9796,3.3,10.89,19.197906
Hungary,2009,9.937585797,3.270654395,10.86231475,1781,3171961,16.481,10.05190334,3.9,1.13212,3.29,10.8241,19.86219
Hungary,2010,9.979801906,3.445983254,10.90897123,1777,3157729,16.673,11.1779337,6.4,1.13945,3.22,10.3684,20.121918
